country_code,country,import_value,growth_percent,predicted_demand_2026,predicted_growth_2026,gdp_per_capita,logistics_lpi,political_stability,applied_tariff
MLT,Malta,564688.073,10.438063503321636,605228.8605071912,7.1793242049210395,47906.9000057635,3.3,79.6436621,
MNE,Montenegro,2243913.805,57.50194732071607,2131559.5918780263,-5.007064570467041,14816.8380299947,2.8,71.56303,
MUS,Mauritius,77751.386,54.41881982908057,80547.5822313484,3.5963297571935198,12991.2935987166,2.5,79.394872,
MYS,Malaysia,2843975.597,-9.908063652919399,3079926.686171438,8.296522987761698,13124.5554178269,3.6,72.4670498,
NGA,Nigeria,64663.886,10.391419909751813,73067.07095535808,12.995174702859774,1224.25410237743,2.6,31.6874346,
NLD,Netherlands,106979699.674,10.469593469736509,100915542.54103257,-5.668512018118181,73683.917132794,4.1,73.2073612,
NOR,Norway,11157827.153,13.313936160838827,11051630.19804002,-0.9517709272941014,94594.1929573987,3.7,81.3235982,
NZL,New Zealand,2745254.406,4.0383563247929,2872879.6865732316,4.648941835565226,49591.0405731713,3.6,85.5494444,
PAN,Panama,25070.0,-93.55604849799639,57590.399752916775,129.71838752659264,19789.7308555826,3.1,70.4155683,
PHL,Philippines,2174059.0,108.4920316776536,1928254.7655420215,-11.30623568440316,4170.72347271451,3.3,52.6707116,
POL,Poland,117188774.0,41.16115521889597,103867244.4706017,-11.367581616135269,28419.5777395638,3.6,74.4122187,
PRT,Portugal,43262560.585,71.66545596492358,37437255.32367836,-13.465003417623395,32081.8106150292,3.4,75.0659657,
PRY,Paraguay,544234.878,83.06544287221648,515609.3328463141,-5.2597777744200185,7026.61906146401,2.7,64.6331579,
ROU,Romania,12974015.01,23.531594940799188,12535623.282760166,-3.3789981505488806,22537.9532108047,3.2,68.6083999,
SAU,Saudi Arabia,6123211.277,53.46935101635124,5712625.798992674,-6.705394594982647,34536.6555456551,3.4,65.0715555,
SGP,Singapore,20545213.599,0.5613057482733631,20643277.583278738,0.47730817597102804,98813.9788172877,4.3,86.9368376,
SLV,El Salvador,133266.02,88.74602724980878,129670.01661788263,-2.6983648060603573,5766.72574029107,2.7,65.9991479,
SRB,Serbia,2803979.0,14.774409699410773,2863235.5879424014,2.113303556923979,15262.0464193413,2.8,63.0137693,
SVK,Slovakia,11048486.317,-7.431148943511221,11500131.595255578,4.087847559358824,28543.6653439813,3.3,76.7304703,
SVN,Slovenia,2103462.187,-6.728681793217904,2275435.9513751757,8.175747842676852,37376.2216079138,3.3,78.2087684,
SWE,Sweden,21662790.699,8.676331532845943,21329854.52775322,-1.5369034205835308,63133.2126736715,4.0,76.2033355,
TGO,Togo,61746.356,65.89095240755023,63200.34754103634,2.3547811324061607,1383.89974929887,2.5,52.0677499,
THA,Thailand,5008425.544,13.803989481392037,5053068.305238832,0.8913531976593567,8056.56359761558,3.5,54.2220045,
TTO,Trinidad and Tobago,39671.746,52.329505974955005,41917.46356530182,5.660747992543158,18967.2704636681,2.5,72.0440017,
TUR,Türkiye,20309121.0,29.67381314593092,19180469.945850566,-5.557360430071956,18599.4420922378,3.4,49.3131044,
USA,USA,370524456.0,11.203462216872163,338564092.8290682,-8.625709491880832,90026.5163005744,3.8,64.2697196,
ZAF,South Africa,2340853.936,-8.255284497995294,2535839.3796060556,8.329671518900584,6597.71450918774,3.7,55.3527432,
