country_code,country,import_value,growth_percent,predicted_demand_2026,predicted_growth_2026,gdp_per_capita,logistics_lpi,political_stability,available_indicators,data_coverage_percent
THA,Thailand,105366117.047,18.535129770885124,98672770.001213,-6.352466270348889,8056.56359761558,3.5,54.2220045,5,100.0
TUR,Türkiye,104528702.0,33.40672304465056,93209248.06787124,-10.829039025213149,18599.4420922378,3.4,49.3131044,5,100.0
NZL,New Zealand,78129040.989,-3.053505107060343,80410661.39290167,2.9203230642788984,49591.0405731713,3.6,85.5494444,5,100.0
KAZ,Kazakhstan,68475236.62,-22.493799087879022,78033756.09097342,13.959089362506267,14692.1331757237,2.7,61.0644717,5,100.0
KWT,Kuwait,71316574.884,-12.125163528422002,76807220.62706874,7.698975661688117,32312.3119953634,3.2,70.9153025,5,100.0
CHL,Chile,74093861.743,3.9169784790057687,74124376.66618457,0.0411841446332179,17994.5911957485,3.0,67.9673582,5,100.0
IDN,Indonesia,61344884.587,-6.996673239955163,64733461.40487847,5.52381317642346,5059.62596411213,3.0,55.4895207,5,100.0
IND,India,73693910.889,52.086557071376006,62931564.4981472,-14.60411893061745,2702.47987141553,3.4,52.4723123,5,100.0
MAR,Morocco,64685976.347,14.806415150064517,62268175.143660575,-3.737751735197486,4672.46826171875,,58.3648187,4,80.0
LTU,Lithuania,58843710.0,2.888803973481541,59513647.11365645,1.13850250716084,32958.6706396386,3.4,81.941602,5,100.0
SVN,Slovenia,55546685.816,-2.948233213244607,57706736.63937182,3.888712335650503,37376.2216079138,3.3,78.2087684,5,100.0
CYP,Cyprus,57706523.135,21.36864691824983,54444453.24550352,-5.652861604337381,41783.08984375,3.2,72.4855218,5,100.0
ZAF,South Africa,52449212.704,27.52800386101265,48606583.97390225,-7.326380191412674,6597.71450918774,3.7,55.3527432,5,100.0
LUX,Luxembourg,48382652.428,7.835434245302947,48231532.65682715,-0.3123428823951688,147252.179121515,3.6,84.2238592,5,100.0
SRB,Serbia,49384713.0,19.994983434594445,47026604.45291438,-4.77497671614619,15262.0464193413,2.8,63.0137693,5,100.0
DOM,Dominican Rep.,47607145.959,12.056677103038528,46711458.7931079,-1.881413279139819,11059.2081531834,2.6,75.9612671,5,100.0
ISL,Iceland,42744903.901,21.315136690882284,40686549.35817729,-4.815438461599996,98323.4849517418,3.6,86.4880288,5,100.0
BIH,Bosnia Herzegovina,38965705.484,5.555143171657799,39445604.27908381,1.2315927278177172,10381.8460703874,3.0,57.3354627,5,100.0
PAN,Panama,32266060.0,-17.801016976786844,36612236.72457734,13.469809219276655,19789.7308555826,3.1,70.4155683,5,100.0
LVA,Latvia,35578111.926,13.498764080362136,35012870.56276856,-1.5887334448975414,26311.9730706362,3.5,76.4873804,5,100.0
MNE,Montenegro,41015674.156,58.996328595393656,34995358.56640981,-14.67808517956423,14816.8380299947,2.8,71.56303,5,100.0
GEO,Georgia,33978969.707,4.769392495707598,34644122.978023686,1.9575439654565367,9691.53472415196,2.7,55.4274855,5,100.0
EST,Estonia,29313231.89,-19.838856286202493,33725516.05867153,15.052192761374585,34417.6320815138,3.6,77.8442761,5,100.0
COL,Colombia,31998532.54,13.780528501104811,31553446.38566901,-1.3909580190110298,8561.62091854449,2.9,49.3103253,5,100.0
AZE,Azerbaijan,25263011.91,-29.531939404120667,30912770.58198447,22.36375730697453,7410.72281660142,,63.4960375,4,80.0
GTM,Guatemala,23611522.0,-9.350063036229304,25898561.948185325,9.686118278124232,6598.18032988711,2.6,62.3112389,5,100.0
EGY,Egypt,24480132.866,10.475862810359237,24632705.34811232,0.6232502206890524,3085.80712036204,3.1,49.1898949,5,100.0
MLT,Malta,22387698.204,12.92434472656513,22376232.136913706,-0.0512159266299456,47906.9000057635,3.3,79.6436621,5,100.0
ARM,Armenia,17417760.83,10.375340930175202,17705989.514208786,1.6547975771509549,9474.01849300368,2.5,53.5393178,5,100.0
MKD,North Macedonia,16875617.088,9.940888642932872,17199336.035108898,1.918264353954144,10489.9255355525,3.1,68.5558552,5,100.0
GHA,Ghana,15266497.17,15.9467729903777,15256699.286089636,-0.0641789914298029,3257.1588903576,2.5,66.090157,5,100.0
SLV,El Salvador,14870014.32,10.196473995313095,15195628.83588686,2.189739087533441,5766.72574029107,2.7,65.9991479,5,100.0
BMU,Bermuda,14365629.68,6.753123895327306,14894949.060173456,3.684623590919796,,,82.483526,3,60.0
AND,Andorra,14318404.506,6.315648110951572,14873462.87329664,3.876537829784383,54291.5026031052,,,3,60.0
PRY,Paraguay,19059078.849,132.30967349792147,14402363.39109874,-24.433056260458205,7026.61906146401,2.7,64.6331579,5,100.0
JAM,Jamaica,12372497.954,-10.538095932794,13905960.406789184,12.3941216922442,8002.92104076242,2.5,74.0392932,5,100.0
MDA,Rep. of Moldova,13441852.0,8.54578539417283,13865017.10848317,3.148116111404658,8621.71721623786,2.5,60.0013863,5,100.0
ECU,Ecuador,11539154.466,-11.97835979070022,13087970.768356036,13.42226856326092,7125.27618527738,,53.5770067,4,80.0
MUS,Mauritius,11861652.405,-2.157203948000793,12838655.079550017,8.236649002951603,12991.2935987166,2.5,79.394872,5,100.0
MDV,Maldives,12019052.331,12.184825626680611,12264360.148019455,2.040991338283367,14614.7208116541,,64.9641925,4,80.0
BRA,Brazil,11631040.0,4.464182587422775,12246246.204169856,5.289348193883405,10713.2856869511,3.2,57.0022212,5,100.0
AGO,Angola,12792968.42,34.310275985421704,12086117.936192384,-5.525304687710751,3129.47662331063,2.1,56.0964488,5,100.0
ARG,Argentina,18621188.97,298.2345249956577,11887701.867558869,-36.160349982427206,14898.0885943842,2.8,62.9948599,5,100.0
NGA,Nigeria,9156233.669,-1.0120451097840064,9934601.046755096,8.500955806647797,1224.25410237743,2.6,31.6874346,5,100.0
