reporterISO,reporterDesc,refYear,import_value,previous_year,previous_import_value,growth_percent,next_year,next_year_import_value
CHE,Switzerland,2022,689973062.578,2021.0,730074273.238,-5.492757672742609,2023.0,686908667.66
CHE,Switzerland,2023,686908667.66,2022.0,689973062.578,-0.4441325443272011,2024.0,664715571.551
CHE,Switzerland,2024,664715571.551,2023.0,686908667.66,-3.230865638164419,2025.0,707534511.95
CHE,Switzerland,2025,707534511.95,2024.0,664715571.551,6.441693595215376,,
CHL,Chile,2021,112946528.111,,,,2022.0,104976083.066
CHL,Chile,2022,104976083.066,2021.0,112946528.111,-7.056830500506328,2023.0,55838330.307
CHL,Chile,2023,55838330.307,2022.0,104976083.066,-46.80852183073584,2024.0,71301016.28
CHL,Chile,2024,71301016.28,2023.0,55838330.307,27.691884567439462,2025.0,74093861.743
CHL,Chile,2025,74093861.743,2024.0,71301016.28,3.9169784790057687,,
CHN,China,2021,335833926.0,,,,2022.0,258763517.0
CHN,China,2022,258763517.0,2021.0,335833926.0,-22.9489646617775,2023.0,204715550.0
CHN,China,2023,204715550.0,2022.0,258763517.0,-20.887012058968114,2024.0,183249388.0
CHN,China,2024,183249388.0,2023.0,204715550.0,-10.485848290469384,,
CIV,Côte d'Ivoire,2021,16041800.062,,,,2022.0,18966210.057
CIV,Côte d'Ivoire,2022,18966210.057,2021.0,16041800.062,18.229936688510257,2023.0,14458506.582
CIV,Côte d'Ivoire,2023,14458506.582,2022.0,18966210.057,-23.767022834044315,2024.0,20596683.703
CIV,Côte d'Ivoire,2024,20596683.703,2023.0,14458506.582,42.45374227405806,,
CMR,Cameroon,2021,7426371.19,,,,2022.0,6762220.44
CMR,Cameroon,2022,6762220.44,2021.0,7426371.19,-8.943139697815186,2023.0,6623697.828
CMR,Cameroon,2023,6623697.828,2022.0,6762220.44,-2.0484782066643286,,
COD,Dem. Rep. of the Congo,2021,4974754.254,,,,2022.0,6507861.654
COD,Dem. Rep. of the Congo,2022,6507861.654,2021.0,4974754.254,30.81775142495311,2023.0,12649119.12
COD,Dem. Rep. of the Congo,2023,12649119.12,2022.0,6507861.654,94.36674890323351,,
COG,Congo,2021,2730525.08,,,,2022.0,2711636.809
COG,Congo,2022,2711636.809,2021.0,2730525.08,-0.6917450104505242,2023.0,7299600.689
COG,Congo,2023,7299600.689,2022.0,2711636.809,169.19536808072593,,
COL,Colombia,2021,21837904.66,,,,2022.0,21006454.69
COL,Colombia,2022,21006454.69,2021.0,21837904.66,-3.807370638094904,2023.0,19494857.88
COL,Colombia,2023,19494857.88,2022.0,21006454.69,-7.195868280998359,2024.0,28123030.33
COL,Colombia,2024,28123030.33,2023.0,19494857.88,44.258709158643015,2025.0,31998532.54
COL,Colombia,2025,31998532.54,2024.0,28123030.33,13.780528501104813,,
COM,Comoros,2021,1871317.265,,,,2022.0,1547045.395
COM,Comoros,2022,1547045.395,2021.0,1871317.265,-17.32853514820748,2023.0,1897186.309
COM,Comoros,2023,1897186.309,2022.0,1547045.395,22.63287910824361,,
CPV,Cabo Verde,2021,1677307.298,,,,2022.0,1676401.302
CPV,Cabo Verde,2022,1676401.302,2021.0,1677307.298,-0.054014908364158495,2023.0,1646865.601
CPV,Cabo Verde,2023,1646865.601,2022.0,1676401.302,-1.761851471050688,2024.0,1393352.575
CPV,Cabo Verde,2024,1393352.575,2023.0,1646865.601,-15.393668180698134,,
CRI,Costa Rica,2021,13788744.62,,,,2022.0,14401041.93
CRI,Costa Rica,2022,14401041.93,2021.0,13788744.62,4.44055878090518,2023.0,14727057.49
CRI,Costa Rica,2023,14727057.49,2022.0,14401041.93,2.2638331419676696,2024.0,21522623.2
CRI,Costa Rica,2024,21522623.2,2023.0,14727057.49,46.14340450978982,,
CUB,Cuba,2021,912521.15,,,,2022.0,568995.33
CUB,Cuba,2022,568995.33,2021.0,912521.15,-37.64579264820328,,
CYM,Cayman Isds,2021,14223905.236,,,,2022.0,8551651.192
CYM,Cayman Isds,2022,8551651.192,2021.0,14223905.236,-39.87831717019462,2023.0,7630405.443
CYM,Cayman Isds,2023,7630405.443,2022.0,8551651.192,-10.772723633323793,2024.0,4682765.035
CYM,Cayman Isds,2024,4682765.035,2023.0,7630405.443,-38.63019376911503,,
CYP,Cyprus,2021,49236111.858,,,,2022.0,47524951.331
CYP,Cyprus,2022,47524951.331,2021.0,49236111.858,-3.4754176607915257,2023.0,51223629.266
CYP,Cyprus,2023,51223629.266,2022.0,47524951.331,7.782602257158748,2024.0,47546483.05
CYP,Cyprus,2024,47546483.05,2023.0,51223629.266,-7.178613207793018,2025.0,57706523.135
CYP,Cyprus,2025,57706523.135,2024.0,47546483.05,21.36864691824983,,
CZE,Czechia,2021,431218853.0,,,,2022.0,418262101.0
CZE,Czechia,2022,418262101.0,2021.0,431218853.0,-3.004681244769231,2023.0,408303362.0
CZE,Czechia,2023,408303362.0,2022.0,418262101.0,-2.3809804847702423,2024.0,374920995.0
CZE,Czechia,2024,374920995.0,2023.0,408303362.0,-8.17587365347239,2025.0,298126959.0
CZE,Czechia,2025,298126959.0,2024.0,374920995.0,-20.482724900482033,,
DEU,Germany,2021,2673324149.015,,,,2022.0,2416885019.674
DEU,Germany,2022,2416885019.674,2021.0,2673324149.015,-9.5925190903425,2023.0,2264819401.77
DEU,Germany,2023,2264819401.77,2022.0,2416885019.674,-6.291801913047196,2024.0,2258093198.564
DEU,Germany,2024,2258093198.564,2023.0,2264819401.77,-0.29698629395099646,2025.0,2764834109.814
DEU,Germany,2025,2764834109.814,2024.0,2258093198.564,22.44109816070719,,
DJI,Djibouti,2021,2601015.017,,,,2022.0,1658826.27
DJI,Djibouti,2022,1658826.27,2021.0,2601015.017,-36.223887245630614,2023.0,1381739.836
DJI,Djibouti,2023,1381739.836,2022.0,1658826.27,-16.703764523815995,,
DMA,Dominica,2021,426782.536,,,,2022.0,450812.512
DMA,Dominica,2022,450812.512,2021.0,426782.536,5.630496558087832,2023.0,712165.214
DMA,Dominica,2023,712165.214,2022.0,450812.512,57.973701936649014,,
DNK,Denmark,2021,377374586.573,,,,2022.0,366986536.356
DNK,Denmark,2022,366986536.356,2021.0,377374586.573,-2.75271589200947,2023.0,328746504.462
DNK,Denmark,2023,328746504.462,2022.0,366986536.356,-10.420009484191201,2024.0,333523163.187
DNK,Denmark,2024,333523163.187,2023.0,328746504.462,1.4529914874127887,2025.0,378263453.536
DNK,Denmark,2025,378263453.536,2024.0,333523163.187,13.414447716758737,,
DOM,Dominican Rep.,2021,24386580.279,,,,2022.0,23276596.615
DOM,Dominican Rep.,2022,23276596.615,2021.0,24386580.279,-4.551616714196866,2023.0,26099771.85
DOM,Dominican Rep.,2023,26099771.85,2022.0,23276596.615,12.128814541472446,2024.0,42484881.035
DOM,Dominican Rep.,2024,42484881.035,2023.0,26099771.85,62.778744883932745,2025.0,47607145.959
DOM,Dominican Rep.,2025,47607145.959,2024.0,42484881.035,12.056677103038528,,
DZA,Algeria,2024,5377676.0,,,,,
ECU,Ecuador,2021,12065940.153,,,,2022.0,11847674.7
ECU,Ecuador,2022,11847674.7,2021.0,12065940.153,-1.8089386341414386,2023.0,11913561.9
ECU,Ecuador,2023,11913561.9,2022.0,11847674.7,0.5561192526665264,2024.0,13109451.765
ECU,Ecuador,2024,13109451.765,2023.0,11913561.9,10.038054739951452,2025.0,11539154.466
ECU,Ecuador,2025,11539154.466,2024.0,13109451.765,-11.978359790700221,,
EGY,Egypt,2021,37789237.809,,,,2022.0,32703210.54
EGY,Egypt,2022,32703210.54,2021.0,37789237.809,-13.458930541829286,2023.0,41950133.622
EGY,Egypt,2023,41950133.622,2022.0,32703210.54,28.275276125229027,2024.0,22158806.678
EGY,Egypt,2024,22158806.678,2023.0,41950133.622,-47.178221462495635,2025.0,24480132.866
EGY,Egypt,2025,24480132.866,2024.0,22158806.678,10.475862810359237,,
ESP,Spain,2021,660364980.597,,,,2022.0,693594080.428
ESP,Spain,2022,693594080.428,2021.0,660364980.597,5.031929434077402,2023.0,636441540.268
ESP,Spain,2023,636441540.268,2022.0,693594080.428,-8.24005593080214,2024.0,675894610.212
ESP,Spain,2024,675894610.212,2023.0,636441540.268,6.199009248734246,2025.0,788217443.6
ESP,Spain,2025,788217443.6,2024.0,675894610.212,16.61839459746084,,
EST,Estonia,2021,38860980.41,,,,2022.0,38897604.28
EST,Estonia,2022,38897604.28,2021.0,38860980.41,0.09424329909746806,2023.0,31923363.48
EST,Estonia,2023,31923363.48,2022.0,38897604.28,-17.929743821230527,2024.0,36567881.31
EST,Estonia,2024,36567881.31,2023.0,31923363.48,14.548961399101302,2025.0,29313231.89
EST,Estonia,2025,29313231.89,2024.0,36567881.31,-19.838856286202493,,
ETH,Ethiopia,2021,22301163.21,,,,2022.0,30358645.956
ETH,Ethiopia,2022,30358645.956,2021.0,22301163.21,36.130324997518365,2023.0,15627362.948
ETH,Ethiopia,2023,15627362.948,2022.0,30358645.956,-48.52417670192089,,
FIN,Finland,2021,120160023.967,,,,2022.0,135063979.374
FIN,Finland,2022,135063979.374,2021.0,120160023.967,12.403422465272769,2023.0,119849364.38
FIN,Finland,2023,119849364.38,2022.0,135063979.374,-11.264746577523727,2024.0,106947705.839
FIN,Finland,2024,106947705.839,2023.0,119849364.38,-10.764895256426552,2025.0,114157945.3
FIN,Finland,2025,114157945.3,2024.0,106947705.839,6.741836493299214,,
FJI,Fiji,2021,2472803.777,,,,2022.0,4464852.727
FJI,Fiji,2022,4464852.727,2021.0,2472803.777,80.55831071306231,2023.0,6947720.168
FJI,Fiji,2023,6947720.168,2022.0,4464852.727,55.60916771085246,2024.0,7916682.485
FJI,Fiji,2024,7916682.485,2023.0,6947720.168,13.946478752308908,2025.0,6279551.402
FJI,Fiji,2025,6279551.402,2024.0,7916682.485,-20.67950920226909,,
FRA,France,2021,1836805396.82,,,,2022.0,1722882882.065
FRA,France,2022,1722882882.065,2021.0,1836805396.82,-6.202209278796226,2023.0,1508762668.848
FRA,France,2023,1508762668.848,2022.0,1722882882.065,-12.428019074654767,2024.0,1488445256.97
FRA,France,2024,1488445256.97,2023.0,1508762668.848,-1.3466274250749568,2025.0,1504455337.143
FRA,France,2025,1504455337.143,2024.0,1488445256.97,1.0756243871266906,,
FRO,Faroe Isds,2025,5398333.167,,,,,
GAB,Gabon,2021,4267353.939,,,,2022.0,4621028.145
GAB,Gabon,2022,4621028.145,2021.0,4267353.939,8.287904192050176,2023.0,4831373.555
GAB,Gabon,2023,4831373.555,2022.0,4621028.145,4.55191795850878,,
GBR,United Kingdom,2021,2164556566.93,,,,2022.0,2086955667.965
GBR,United Kingdom,2022,2086955667.965,2021.0,2164556566.93,-3.585071425278648,2023.0,1633109139.445
GBR,United Kingdom,2023,1633109139.445,2022.0,2086955667.965,-21.7468217215437,2024.0,1713201481.749
GBR,United Kingdom,2024,1713201481.749,2023.0,1633109139.445,4.9042859640855925,2025.0,1825778303.436
GBR,United Kingdom,2025,1825778303.436,2024.0,1713201481.749,6.571137305582461,,
GEO,Georgia,2021,17857168.4,,,,2022.0,23740232.187
GEO,Georgia,2022,23740232.187,2021.0,17857168.4,32.945110082514546,2023.0,28486189.49
GEO,Georgia,2023,28486189.49,2022.0,23740232.187,19.991200025410265,2024.0,32432153.034
GEO,Georgia,2024,32432153.034,2023.0,28486189.49,13.852198607978872,2025.0,33978969.707
GEO,Georgia,2025,33978969.707,2024.0,32432153.034,4.769392495707598,,
GHA,Ghana,2021,21253617.996,,,,2022.0,15362489.047
GHA,Ghana,2022,15362489.047,2021.0,21253617.996,-27.718240490201378,2023.0,11152491.711
GHA,Ghana,2023,11152491.711,2022.0,15362489.047,-27.404396013692413,2024.0,13166815.062
GHA,Ghana,2024,13166815.062,2023.0,11152491.711,18.061644009232673,2025.0,15266497.17
GHA,Ghana,2025,15266497.17,2024.0,13166815.062,15.9467729903777,,
GMB,Gambia,2021,2267512.18,,,,2022.0,3446281.983
GMB,Gambia,2022,3446281.983,2021.0,2267512.18,51.98515859791323,2023.0,4201243.013
GMB,Gambia,2023,4201243.013,2022.0,3446281.983,21.906536775693674,2024.0,5128240.298
GMB,Gambia,2024,5128240.298,2023.0,4201243.013,22.064833720200706,,
GRC,Greece,2021,112787424.072,,,,2022.0,120509982.755
GRC,Greece,2022,120509982.755,2021.0,112787424.072,6.847003330859082,2023.0,131956370.206
GRC,Greece,2023,131956370.206,2022.0,120509982.755,9.498289842320213,2024.0,144004796.335
GRC,Greece,2024,144004796.335,2023.0,131956370.206,9.130613482464653,2025.0,146795229.227
GRC,Greece,2025,146795229.227,2024.0,144004796.335,1.9377360775599266,,
GRD,Grenada,2021,1042874.073,,,,2022.0,996678.888
GRD,Grenada,2022,996678.888,2021.0,1042874.073,-4.429603362092591,2023.0,1551173.087
GRD,Grenada,2023,1551173.087,2022.0,996678.888,55.63418726694249,2024.0,1261882.784
GRD,Grenada,2024,1261882.784,2023.0,1551173.087,-18.649775800294044,,
GTM,Guatemala,2021,17552389.0,,,,2022.0,19422919.0
GTM,Guatemala,2022,19422919.0,2021.0,17552389.0,10.656839932159661,2023.0,20303185.0
GTM,Guatemala,2023,20303185.0,2022.0,19422919.0,4.532099423366797,2024.0,26046926.0
