reporterISO,reporterDesc,refYear,previous_import_value,import_value,growth_percent,next_year_import_value
GEO,Georgia,2024,28486189.49,32432153.034,13.852198607978872,33978969.707
GHA,Ghana,2022,21253617.996,15362489.047,-27.718240490201378,11152491.711
GHA,Ghana,2023,15362489.047,11152491.711,-27.404396013692413,13166815.062
GHA,Ghana,2024,11152491.711,13166815.062,18.061644009232673,15266497.17
GMB,Gambia,2022,2267512.18,3446281.983,51.98515859791323,4201243.013
GMB,Gambia,2023,3446281.983,4201243.013,21.906536775693674,5128240.298
GRC,Greece,2022,112787424.072,120509982.755,6.847003330859082,131956370.206
GRC,Greece,2023,120509982.755,131956370.206,9.498289842320213,144004796.335
GRC,Greece,2024,131956370.206,144004796.335,9.130613482464653,146795229.227
GRD,Grenada,2022,1042874.073,996678.888,-4.429603362092591,1551173.087
GRD,Grenada,2023,996678.888,1551173.087,55.63418726694249,1261882.784
GTM,Guatemala,2022,17552389.0,19422919.0,10.656839932159661,20303185.0
GTM,Guatemala,2023,19422919.0,20303185.0,4.532099423366797,26046926.0
GTM,Guatemala,2024,20303185.0,26046926.0,28.28985206015706,23611522.0
GUY,Guyana,2022,3709485.727,4005650.986,7.9839978044482205,4899494.749
GUY,Guyana,2023,4005650.986,4899494.749,22.31456924539955,3911712.417
GUY,Guyana,2024,4899494.749,3911712.417,-20.160901942013695,3716055.296
HKG,"China, Hong Kong SAR",2022,222059530.158,239366372.374,7.793784938518892,226098805.333
HKG,"China, Hong Kong SAR",2023,239366372.374,226098805.333,-5.542786528205385,248471363.169
HKG,"China, Hong Kong SAR",2024,226098805.333,248471363.169,9.895035846407737,239070602.048
HRV,Croatia,2022,92841070.0,93252001.0,0.4426176906405754,107039697.0
HRV,Croatia,2023,93252001.0,107039697.0,14.785415703841037,111701239.0
HRV,Croatia,2024,107039697.0,111701239.0,4.3549656161676165,131843698.0
HUN,Hungary,2022,129163152.0,136409232.0,5.610021037578891,130143110.01
HUN,Hungary,2023,136409232.0,130143110.01,-4.593620166412194,137629982.633
HUN,Hungary,2024,130143110.01,137629982.633,5.752799838904035,148739987.981
IDN,Indonesia,2022,48332273.0,52807085.0,9.258434835042829,56025520.0
IDN,Indonesia,2023,52807085.0,56025520.0,6.094703011915921,65959882.0
IDN,Indonesia,2024,56025520.0,65959882.0,17.731851484823345,61344884.587
IND,India,2022,66417450.806,69967248.18,5.344675730432166,61476656.877
IND,India,2023,69967248.18,61476656.877,-12.135093953040487,48455243.059
IND,India,2024,61476656.877,48455243.059,-21.181070148386098,73693910.889
IRL,Ireland,2022,153582411.774,176905768.357,15.186215865213038,149713912.838
IRL,Ireland,2023,176905768.357,149713912.838,-15.370813383612337,163731005.955
IRL,Ireland,2024,149713912.838,163731005.955,9.36258551479274,167421152.32
ISL,Iceland,2022,27597788.992,26882209.676,-2.5928863946580307,30422213.489
ISL,Iceland,2023,26882209.676,30422213.489,13.168574516999096,35234600.617
ISL,Iceland,2024,30422213.489,35234600.617,15.818662010704946,42744903.901
ISR,Israel,2022,204102000.0,192406000.0,-5.730468099283692,172813000.0
ISR,Israel,2023,192406000.0,172813000.0,-10.183154371485296,176939000.0
ISR,Israel,2024,172813000.0,176939000.0,2.387551862417758,177279000.0
ITA,Italy,2022,451792598.44,482218444.875,6.734472087426348,459897439.695
ITA,Italy,2023,482218444.875,459897439.695,-4.628816134518875,481309995.631
ITA,Italy,2024,459897439.695,481309995.631,4.655941539966087,549566613.109
JAM,Jamaica,2022,9901086.32,9805670.14,-0.9636940525128125,13280695.09
JAM,Jamaica,2023,9805670.14,13280695.09,35.43893380447732,13829906.8
JAM,Jamaica,2024,13280695.09,13829906.8,4.135413894213581,12372497.954
JOR,Jordan,2022,48006076.602,42795690.097,-10.853597864698077,41206043.482
