reporterISO,reporterDesc,demand,growth_percentage,gdp_per_capita,logistics_lpi,demand_log,demand_norm,growth_norm,gdp_norm,logistics_norm,market_score,market_score_100,rank
CZE,Czechia,374920995.0,-4.5562838898176246,31827.7552539413,3.3,19.742225884405766,0.68515794835729,0.1717113035770015,0.22810968190403552,0.5454545454545454,0.4358455582573052,43.58455582573052,29
QAT,Qatar,63943256.991,-7.756278656943605,75685.0865779973,3.5,17.9735066541765,0.49671379428612994,0.1383718747374567,0.5476169486485184,0.6363636363636364,0.43133782784619246,43.13378278461924,30
MYS,Malaysia,233158802.833,6.60780253647153,11874.4273684245,3.6,19.267230340887426,0.6345506321388296,0.2880253265846341,0.08274668186073163,0.6818181818181819,0.4302473818173323,43.02473818173323,31
NZL,New Zealand,80589856.369,-9.138433113540378,49432.3626396797,3.6,18.204883360464162,0.5213652974433032,0.12397177614218496,0.35636189922127515,0.6818181818181819,0.4068855813227406,40.68855813227406,32
TUR,Türkiye,78353399.0,20.82585572075024,15892.7157287241,3.4,18.1767399208471,0.5183668188941655,0.4361573726879025,0.11202051800694247,0.5909090909090909,0.40561866933299884,40.56186693329988,33
ROU,Romania,247755022.67,0.6044305109707881,20080.2096215595,3.2,19.327951008143362,0.6410199770637434,0.22547866354078916,0.14252704195212354,0.5000000000000001,0.4050091319240799,40.50091319240799,34
HRV,Croatia,111701239.0,6.358601393640662,24049.9441746337,3.3,18.531338365141643,0.5561467009285642,0.2854290024113903,0.17144715629702365,0.5454545454545454,0.3956520939312903,39.56520939312903,35
SVK,Slovakia,134230276.247,0.3958177019518505,25992.6748502048,3.3,18.71506736992395,0.5757216884634995,0.22330521251744548,0.18560024198265263,0.5454545454545454,0.3938879481036012,39.388794810360125,36
MEX,Mexico,175117187.0,15.149933622191014,13988.0423745241,2.9,18.980965953489427,0.6040512462544332,0.3770222757034563,0.09814468564165463,0.3636363636363636,0.39119934531625,39.119934531625,37
HUN,Hungary,137629982.633,2.1389698783039535,23305.4482514359,3.2,18.740079364035413,0.5783865342973724,0.24146639782219026,0.1660233913222299,0.5000000000000001,0.387852571547833,38.785257154783295,38
BHR,Bahrain,34434860.906,15.860749949690977,29717.1424605273,3.5,17.354580036672658,0.4307716702484342,0.38442797855401317,0.21273354969487493,0.6363636363636364,0.38719551920369677,38.719551920369675,39
BHS,Bahamas,36602283.0,29.218661287238913,39455.4466548546,2.7,17.415621200796107,0.43727516178070586,0.5235985606619042,0.2836785630351918,0.2727272727272728,0.3772745803607924,37.72745803607924,40
CHN,China,183249388.0,-18.284209036507903,13293.1162269366,3.7,19.02635856448264,0.6088874984042943,0.028685699833987752,0.09308204395093304,0.7272727272727274,0.37699945720961103,37.699945720961104,41
SVN,Slovenia,57234079.971,2.419924685001429,34301.0318686594,3.3,17.862660100090395,0.48490390113889953,0.24439355035420243,0.2461278746944888,0.5454545454545454,0.37388402728347986,37.388402728347984,42
BGR,Bulgaria,98990085.415,4.068063245756104,17596.9167621233,3.2,18.410530265862576,0.5432754776815384,0.26156482789142815,0.1244358793097365,0.5000000000000001,0.3695103325128483,36.951033251284834,43
MLT,Malta,19825395.718,12.178861196937586,44023.6341078148,3.3,16.802474336281186,0.37194882833550363,0.3460678945536916,0.3169584969255417,0.5454545454545454,0.36320299144822993,36.32029914482299,44
KWT,Kuwait,81156993.0,-6.085676899235892,32855.7209688827,3.2,18.211896034286237,0.5221124467723726,0.1557771870812447,0.2355985670224926,0.5000000000000001,0.36212012952969647,36.212012952969644,45
EST,Estonia,36567881.31,-2.0069334400346195,31428.3547816104,3.6,17.414680880600876,0.43717497751136697,0.1982719369820173,0.22519998928484722,0.6818181818181819,0.361837103530647,36.183710353064704,46
LTU,Lithuania,57191558.0,-5.0269654921325735,29603.7772588256,3.4,17.861916875530444,0.4848247159742385,0.16680746562461768,0.21190766711957607,0.5909090909090909,0.3583092765748978,35.83092765748978,47
CYP,Cyprus,47546483.05,-1.157235652237687,38674.3125,3.2,17.677218402055676,0.46514643860984545,0.2071245886245752,0.27798788302244193,0.5000000000000001,0.35808106977334164,35.80810697733416,48
THA,Thailand,88890202.635,-4.337844243239719,7386.63615126055,3.5,18.30291249908035,0.5318095883093313,0.17398713637761581,0.05005244666157676,0.6363636363636364,0.35298629738611653,35.29862973861165,49
PHL,Philippines,100543050.0,1.0741510441069746,3985.29464669706,3.3,18.42609656189916,0.544933953169621,0.23037248850883177,0.02527316131569532,0.5454545454545454,0.35092089305093566,35.092089305093566,50
ZWE,Zimbabwe,9616606.845,74.94476296313093,2496.15514995576,2.5,16.079002145593783,0.2948681347816575,1.0,0.01442455571109271,0.1818181818181818,0.3481048923276089,34.81048923276089,51
KAZ,Kazakhstan,88348075.14,11.628626649875496,14154.6324958076,2.7,18.296794981054294,0.5311578113117545,0.34033522720207854,0.09935831977558397,0.2727272727272728,0.34131092482932524,34.13109248293252,52
IDN,Indonesia,65959882.0,10.921112491308183,4925.43644992666,3.0,18.004557281851795,0.5000220125525707,0.3329639282909523,0.03212223600477376,0.4090909090909091,0.33438967424380983,33.438967424380984,53
ZAF,South Africa,41127604.225,-6.588166711037113,6267.186814093,3.7,17.53219011397952,0.4496947306192239,0.15054195248172403,0.04189708957123,0.7272727272727274,0.3274566097491895,32.74566097491895,54
URY,Uruguay,24339564.0,12.455372387755137,24308.4954958447,3.0,17.007613773548012,0.39380494153972884,0.34894875088017835,0.17333074162835432,0.4090909090909091,0.3233415114812344,32.33415114812344,55
PAN,Panama,39253600.0,1.0221395576925474,19161.218843129,3.1,17.485553743207287,0.4447259649220344,0.229830602232027,0.1358320556655626,0.4545454545454546,0.3192047357301499,31.92047357301499,56
DOM,Dominican Rep.,42484881.035,20.326467663078418,10875.6618443092,2.6,17.564658853788877,0.45315403840677915,0.430954453988438,0.07547052453207846,0.2272727272727273,0.3166375201577241,31.663752015772413,57
