"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Burundi","BDI","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9866362","","20.8160618","","23.0741725","","23.9134292","24.882535","24.698766","40.274432","44.1898012","46.3703939","41.2085068","47.8349259","37.0694711","34.4098574","33.3042337","37.2704925","47.7581237","31.1085528","29.9083295","30.1866725","38.1593506","37.380141","40.3528211","42.3498686","44.0146516","43.9613519","42.3840199","",
"Burundi","BDI","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9866362","","20.8160618","","23.0741725","","23.9134292","24.882535","24.698766","40.274432","44.1898012","46.3703939","41.2085068","47.8349259","37.0694711","34.4098574","33.3042337","37.2704925","47.7581237","31.1085528","29.9083295","30.1866725","38.1593506","37.380141","40.3528211","42.3498686","44.0146516","43.9613519","42.3840199","",
"Belgium","BEL","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.5013947","","84.9520239","","85.9204533","","85.2632165","80.7966086","77.4790373","79.8508534","80.0320806","80.4768547","78.0489444","82.3636883","81.5488123","81.7843778","82.0362545","82.1028899","79.330541","77.1370022","74.2033432","72.1250812","73.1489848","72.3410456","72.1913766","73.7846749","70.1054587","69.3006796","67.9689981","",
"Belgium","BEL","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.5013947","","84.9520239","","85.9204533","","85.2632165","80.7966086","77.4790373","79.8508534","80.0320806","80.4768547","78.0489444","82.3636883","81.5488123","81.7843778","82.0362545","82.1028899","79.330541","77.1370022","74.2033432","72.1250812","73.1489848","72.3410456","72.1913766","73.7846749","70.1054587","69.3006796","67.9689981","",
"Benin","BEN","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.4210103","","76.5311793","","76.4260506","","76.469197","75.7567883","68.9150967","73.8286788","76.2473651","73.674572","74.0431878","73.0691693","71.2410896","71.7785024","71.9143063","71.5550204","68.2365557","67.9015838","70.0281952","71.2851516","68.7128078","62.5126327","61.0570087","58.8795864","58.4245958","60.6055079","59.0103392","",
"Benin","BEN","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.4210103","","76.5311793","","76.4260506","","76.469197","75.7567883","68.9150967","73.8286788","76.2473651","73.674572","74.0431878","73.0691693","71.2410896","71.7785024","71.9143063","71.5550204","68.2365557","67.9015838","70.0281952","71.2851516","68.7128078","62.5126327","61.0570087","58.8795864","58.4245958","60.6055079","59.0103392","",
"Burkina Faso","BFA","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.4843981","","65.0200664","","67.4790499","","62.2490824","66.9607668","63.3329407","66.6235197","67.7704347","72.0040291","68.5778478","65.8329422","60.5198266","54.2154366","54.8280938","52.3153016","53.9401871","54.2871828","50.3947575","51.2782554","49.4637727","45.469811","41.7072486","38.9026684","34.7884454","31.0083522","33.3312021","",
"Burkina Faso","BFA","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.4843981","","65.0200664","","67.4790499","","62.2490824","66.9607668","63.3329407","66.6235197","67.7704347","72.0040291","68.5778478","65.8329422","60.5198266","54.2154366","54.8280938","52.3153016","53.9401871","54.2871828","50.3947575","51.2782554","49.4637727","45.469811","41.7072486","38.9026684","34.7884454","31.0083522","33.3312021","",
"Bangladesh","BGD","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3908719","","54.6262406","","52.0145168","","44.6286925","44.8447798","43.1999208","35.2991033","37.4647957","39.1176899","40.6774757","40.0921132","41.2324706","41.0501211","40.8009467","35.6292308","47.94144","43.1479364","42.9773902","43.1937902","48.3828183","48.8682227","48.5534122","47.8980425","47.1824874","48.1988033","40.9048506","",
"Bangladesh","BGD","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3908719","","54.6262406","","52.0145168","","44.6286925","44.8447798","43.1999208","35.2991033","37.4647957","39.1176899","40.6774757","40.0921132","41.2324706","41.0501211","40.8009467","35.6292308","47.94144","43.1479364","42.9773902","43.1937902","48.3828183","48.8682227","48.5534122","47.8980425","47.1824874","48.1988033","40.9048506","",
